address,price,squarefootage,numbed,numbath,image-src,city,state,zipcode,population,MedianAge, MedianHouseholdIncome ,UnemploymentRate,PropertyCrimeIndex,PopulationGrowthRate,BachelorDegree,airquality,TotalHousingUnits,OwnerOccupiedHUs,Latitude,Longitude,Type,id
"5963 Wood Sorrel Way,","$1,190,000 ","5,581",5,5,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/521/genMid.3883521_3.jpg,Littleton,CO,80123,"48,401",42,"$86,094 ",6.40%,61,0.67%,"10,677",46,"20,552","13,924",39.60853,-105.044166,Homes,97
"3690 W Latonka Rd,","$440,000 ","2,370",4,2,https://photos.zillowstatic.com/p_e/ISbhr5j4uk9awi0000000000.jpg,Littleton,CO,80123,"48,401",42,"$86,094 ",6.40%,61,0.67%,"10,677",46,"20,552","13,924",39.621046,-105.035804,Homes,98
"Buildable plan: Residence 2804, Amberly at Sterling Ranch,","$458,900 ","2,016",3,3,https://photos.zillowstatic.com/cc_ft_960/ISb13w6wus82090000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,99
"Buildable plan: Bryce II, Sterling Ranch : The Icon Collection,","$747,900 ","3,184",3,4,https://photos.zillowstatic.com/cc_ft_960/ISvoij4ds8pepx0000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,100
"Buildable plan: Residence 2802, Amberly at Sterling Ranch,","$443,900 ","1,578",3,3,https://photos.zillowstatic.com/cc_ft_960/IS7qb88mbp5rz80000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,101
"8750 Hunters Hill Ln,","$1,149,900 ","5,281",5,4,https://photos.zillowstatic.com/p_e/IS7i9p57ax66ou0000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.489215,-105.080466,Homes,102
"Buildable plan: 3652 Embark, Harmony at Solstice,","$491,990 ","2,232",3,3,https://photos.zillowstatic.com/cc_ft_960/ISfseiullb5ffg1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,103
"Buildable plan: SuperHome, Sterling Ranch : The Grand Collection I,","$737,900 ","4,155",6,5,https://photos.zillowstatic.com/cc_ft_960/ISzva5jh6mwt541000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,104
"Buildable plan: The Telluride Sterling 35s, Sterling Ranch Ascent Village,","$537,990 ","2,824",3,2,https://photos.zillowstatic.com/cc_ft_960/ISb1v5hsjgcmjh1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,105
"Buildable plan: Ash, Sterling Ranch : The Elements Collection,","$470,900 ","1,812",3,3,https://photos.zillowstatic.com/cc_ft_960/ISnehlmnuzpc111000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,106
"Buildable plan: SuperHome, Sterling Ranch : The Grand Collection,","$737,900 ","4,155",6,5,https://photos.zillowstatic.com/cc_ft_960/ISbdsvwf2o1qb81000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,107
"Buildable plan: Lavender, Ascent Village at Sterling Ranch,","$475,950 ","1,740",3,2,https://photos.zillowstatic.com/cc_ft_960/ISfonilkrykf3w1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,108
"8216 Estes Park Ave,","$770,000 ","5,015",3,3,https://photos.zillowstatic.com/p_e/ISn24jy4bvpo1m0000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.498609,-105.039264,Homes,109
"Buildable plan: Teton II, Sterling Ranch : The Icon Collection,","$777,900 ","3,249",3,4,https://photos.zillowstatic.com/cc_ft_960/ISzbbk3pe1539x0000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,110
"Buildable plan: The Hayden Sterling 35s, Sterling Ranch Ascent Village,","$507,990 ","2,212",3,3,https://photos.zillowstatic.com/cc_ft_960/IS3vstylf84pjh1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,111
"Buildable plan: 3655 Imagine, Harmony at Solstice,","$526,990 ","2,740",4,4,https://photos.zillowstatic.com/cc_ft_960/ISr98ib29ngnfg1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,112
"7970 Gore Creek Ln,","$899,500 ","3,258",3,4,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/127/genMid.7066127_1.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.499512,-105.035262,Homes,113
"7984 Williams Fork Ave,","$525,051 ","2,016",3,3,https://photos.zillowstatic.com/p_e/ISfg1gmngej2fw0000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.49286,-105.035787,Homes,114
"Buildable plan: Graham, Sterling Ranch : The Monarch Collection,","$548,900 ","1,972",3,2,https://photos.zillowstatic.com/cc_ft_960/ISf4w34dapp8251000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,115
"Buildable plan: Residence 2803, Amberly at Sterling Ranch,","$453,900 ","1,798",3,3,https://photos.zillowstatic.com/cc_ft_960/ISrd7k7939pwz80000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,116
"Buildable plan: Signature 4, Signature Portfolio at Sterling Ranch,","$539,880 ","2,059",2,2,https://ssl.cdn-redfin.com/photo/113/mbpaddedwide/849/genMid.Plan-141400849_0.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,117
"Buildable plan: 5052 Meadowview, Trails Edge at Solstice,","$630,990 ","3,691",4,4,https://photos.zillowstatic.com/cc_ft_960/ISj366tv4f8qfg1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,118
"Buildable plan: Acadia II, Sterling Ranch : The Icon Collection,","$732,900 ","2,872",2,3,https://photos.zillowstatic.com/cc_ft_960/ISbd450ytx72641000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,119
"Buildable plan: The Chesapeake - Shenandoah Collection, Sterling Ranch,","$627,900 ","2,392",3,3,https://photos.zillowstatic.com/cc_ft_960/ISmigzrt3g5s2i0000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,120
"Buildable plan: 3653 Serenity, Harmony at Solstice,","$501,990 ","2,460",3,3,https://photos.zillowstatic.com/cc_ft_960/ISzfaut8dvokfg1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,121
"Buildable plan: Silverleaf, Sterling Ranch : The Grand Collection,","$672,900 ","3,031",4,3,https://photos.zillowstatic.com/cc_ft_960/ISv0o7w2u7lvb81000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,122
"9107 Fraser River St,","$525,182 ","1,580",3,2,https://photos.zillowstatic.com/cc_ft_768/ISzfqu0jr1biu61000000000.webp,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.494315,-105.034721,Homes,123
"9084 Fraser River St,","$611,381 ","2,496",4,4,https://photos.zillowstatic.com/p_e/ISjrwu0rfp0jlo0000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.493972,-105.03438,Homes,124
"Buildable plan: Jade, Sterling Ranch : The Elements Collection,","$518,900 ","2,302",4,3,https://photos.zillowstatic.com/cc_ft_960/IS3r94zkmxt8ex0000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,125
"Buildable plan: Silverleaf, Sterling Ranch : The Grand Collection I,","$672,900 ","3,031",4,3,https://photos.zillowstatic.com/cc_ft_960/ISf8ftjue2do541000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,126
"8727 Hunters Hill Ln,","$1,385,000 ","6,049",7,7,https://photos.zillowstatic.com/p_e/ISzvqdgt1quc8o1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.488308,-105.081339,Homes,127
"Buildable plan: Cumberland, Ascent Village at Sterling Ranch,","$471,950 ","1,960",3,3,https://photos.zillowstatic.com/cc_ft_960/ISzzta31wdtsiv1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,128
"Buildable plan: 5054 Shadowbrook, Trails Edge at Solstice,","$651,990 ","4,092",5,6,https://photos.zillowstatic.com/cc_ft_960/ISbx3uap070tfg1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,129
"Buildable plan: Residence 2805, Amberly at Sterling Ranch,","$470,900 ","2,156",3,3,https://photos.zillowstatic.com/cc_ft_960/ISj758p2z0hzz80000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,130
"Buildable plan: The Granby Sterling 35s, Sterling Ranch Ascent Village,","$515,990 ","2,496",4,4,https://photos.zillowstatic.com/cc_ft_960/ISnio5y87snujh1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,131
"7956 Williams Fork Cir,","$586,458 ","2,847",4,4,https://photos.zillowstatic.com/p_e/ISrx2mpz6jyq5o0000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.49277,-105.035444,Homes,132
"Buildable plan: 3654 Melody, Harmony at Solstice,","$511,990 ","2,598",4,4,https://photos.zillowstatic.com/cc_ft_960/ISnygucspjdcfg1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,133
"Buildable plan: Preston, Sterling Ranch : The Grand Collection I,","$637,900 ","2,258",4,3,https://ssl.cdn-redfin.com/photo/113/mbpaddedwide/849/genMid.Plan-141400849_0.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,134
"Buildable plan: Chelton, Sterling Ranch : The Monarch Collection,","$618,900 ","2,724",4,3,https://photos.zillowstatic.com/cc_ft_960/ISznctoo6zn2l41000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,135
"Buildable plan: The Frisco Sterling 35, Sterling Ranch Ascent Village,","$492,990 ","1,969",3,3,https://photos.zillowstatic.com/cc_ft_960/ISvoqhgfb0wrjh1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,136
"Buildable plan: Medway, Ascent Village at Sterling Ranch,","$466,950 ","1,830",3,3,https://photos.zillowstatic.com/cc_ft_960/ISb1f1ntr76tuv1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,137
"9374 Bear River St,","$675,000 ","5,342",3,3,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/374/genMid.9015374_3.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.498727,-105.041506,Homes,138
"Buildable plan: Peyton, Sterling Ranch : The Grand Collection,","$709,900 ","3,707",4,4,https://photos.zillowstatic.com/cc_ft_960/IS37qje9yftsb81000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,139
"Buildable plan: The Saybrook - Shenandoah Collection, Sterling Ranch,","$662,900 ","2,726",3,3,https://photos.zillowstatic.com/cc_ft_960/ISir8su51b67mg0000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,140
"Buildable plan: 4051 Skywalk, Stargaze at Solstice,","$531,490 ","2,230",2,3,https://photos.zillowstatic.com/cc_ft_960/ISf8vh9zja34gg1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,141
"Buildable plan: Bandelier II, Sterling Ranch : The Legends Collection,","$698,900 ","2,540",3,3,https://photos.zillowstatic.com/cc_ft_960/ISniw3ix87k6h20000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,142
"Buildable plan: 3651 Destiny, Harmony at Solstice,","$483,990 ","2,026",3,3,https://photos.zillowstatic.com/cc_ft_960/ISv4j6vytrl9fg1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,143
"Buildable plan: Isla, Sterling Ranch : The Elements Collection,","$496,900 ","2,103",3,3,https://photos.zillowstatic.com/cc_ft_960/ISvk7sgeiplbex0000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,144
"8138 Piney River Ave,","$1,300,000 ","4,145",5,5,https://photos.zillowstatic.com/p_e/IS72t5rsf2v6gg1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.506144,-105.037994,Homes,145
"Buildable plan: Westfield, Ascent Village at Sterling Ranch,","$491,950 ","2,250",3,3,https://photos.zillowstatic.com/cc_ft_960/ISbdwuma8vh43w1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,146
"Buildable plan: Peyton, Sterling Ranch : The Grand Collection I,","$709,900 ","3,585",4,4,https://photos.zillowstatic.com/cc_ft_960/ISbxn5lkvy9d541000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,147
"Buildable plan: Sequoia II, Sterling Ranch : The Icon Collection,","$772,900 ","3,251",3,4,https://photos.zillowstatic.com/cc_ft_960/IS7idwlvi9d09x0000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,148
"Buildable plan: Everglade II, Sterling Ranch : The Legends Collection,","$716,900 ","2,770",3,4,https://ssl.cdn-redfin.com/photo/113/mbpaddedwide/849/genMid.Plan-141400849_0.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,149
"Buildable plan: 4052 Twilight, Stargaze at Solstice,","$552,490 ","2,914",3,3,https://photos.zillowstatic.com/cc_ft_960/ISzvqt8mbum9gg1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,150
"Buildable plan: Kingsley, Sterling Ranch : The Monarch Collection,","$575,900 ","2,166",3,3,https://photos.zillowstatic.com/cc_ft_960/ISb1nfvv0o2kof1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,151
"Buildable plan: 5053 Tallgrass, Trails Edge at Solstice,","$640,990 ","3,808",4,4,https://photos.zillowstatic.com/cc_ft_960/ISbts6ylhnkka00000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,152
"Buildable plan: The Arlington - Shenandoah Collection, Sterling Ranch,","$666,900 ","2,442",3,3,https://photos.zillowstatic.com/cc_ft_960/ISyvugxv27is280000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,153
"Buildable plan: Cabrillo II, Sterling Ranch : The Legends Collection,","$713,900 ","2,837",3,3,https://photos.zillowstatic.com/cc_ft_960/ISbdogqpsmo8151000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,154
"Buildable plan: Residence 2801, Amberly at Sterling Ranch,","$446,900 ","1,498",2,2,https://photos.zillowstatic.com/cc_ft_960/ISzj9wpf7hxtz80000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,155
"Buildable plan: Preston, Sterling Ranch : The Grand Collection,","$637,900 ","2,258",4,3,https://ssl.cdn-redfin.com/photo/113/mbpaddedwide/849/genMid.Plan-141400849_0.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,156
"Buildable plan: The Asheville - Shenandoah Collection, Sterling Ranch,","$678,900 ","2,784",3,3,https://photos.zillowstatic.com/cc_ft_960/ISesi5jvco0y180000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,157
"9903 Eagle River St,","$735,900 ","3,004",4,4,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/848/genMid.2863848_0.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.506122,-105.036818,Homes,158
"Buildable plan: 4055 Open Sky, Stargaze at Solstice,","$610,490 ","3,550",5,5,https://photos.zillowstatic.com/cc_ft_960/IS72t5rsf2v6gg1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,159
"Buildable plan: Somerton, Sterling Ranch : The Grand Collection,","$662,900 ","2,528",4,3,https://photos.zillowstatic.com/cc_ft_960/ISf8resw6audo41000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,160
"9287 Rangeview Ln,","$1,175,000 ","6,525",5,5,https://photos.zillowstatic.com/p_e/ISjjmxxvj3ni8e1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.509533,-105.059634,Homes,161
"Buildable plan: 4053 Night Song, Stargaze at Solstice,","$571,490 ","3,122",3,3,https://photos.zillowstatic.com/cc_ft_960/ISrpohqf7mecgg1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,162
"9905 Geneva Creek Ln,","$472,000 ","1,937",3,3,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/010/genMid.7334010_1.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.506201,-105.039123,Homes,163
"8158 Superior Cir,","$800,000 ","6,352",6,6,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/048/genMid.2946048_1.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.501255,-105.038873,Homes,164
"Buildable plan: Prescott, Sterling Ranch : The Grand Collection I,","$707,900 ","3,640",4,4,https://photos.zillowstatic.com/cc_ft_960/ISneh521jall541000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,165
"Buildable plan: The Chestertown - Shenandoah Collection, Sterling Ranch,","$674,900 ","2,906",4,4,https://photos.zillowstatic.com/cc_ft_960/ISuoiba08odp2i0000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,166
"9114 Fraser River St,","$718,458 ","3,206",4,4,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/074/genMid.6452074_0.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.494217,-105.034185,Homes,167
"Ivy, Sterling Ranch : The Elements Collection,","$482,900 ","2,009",3,3,https://photos.zillowstatic.com/cc_ft_960/ISf8f94hqrhf111000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,169
"Buildable plan: Clarion, Ascent Village at Sterling Ranch,","$456,950 ","1,580",3,2,https://photos.zillowstatic.com/cc_ft_960/ISrpke9dul5mo41000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,171
"Buildable plan: 4054 Morningside, Stargaze at Solstice,","$581,490 ","3,135",4,4,https://photos.zillowstatic.com/cc_ft_960/IS7il63enqci3w1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,172
"Buildable plan: Crestone, Sterling Ranch : The Grand Collection I,","$674,900 ","3,058",4,3,https://photos.zillowstatic.com/cc_ft_960/ISnextr5oib1gg1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,173
"7966 Williams Fork Cir,","$551,210 ","2,284",3,3,https://photos.zillowstatic.com/p_e/ISrx2mpz6jyq5o0000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.492832,-105.035629,Homes,174
"Buildable plan: 5051 Waterton, Trails Edge at Solstice,","$626,990 ","3,538",3,3,https://photos.zillowstatic.com/cc_ft_960/IS3r1isiwyrvfg1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,175
"Buildable plan: Prescott, Sterling Ranch : The Grand Collection,","$707,900 ","3,640",4,4,https://photos.zillowstatic.com/cc_ft_960/ISnulvdwpzcyb81000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,176
"Buildable plan: Mulberry, Ascent Village at Sterling Ranch,","$511,950 ","2,660",4,3,https://photos.zillowstatic.com/cc_ft_960/IS37ui444n973w1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,177
"Buildable plan: Ember, Sterling Ranch : The Elements Collection,","$493,900 ","2,065",3,3,https://photos.zillowstatic.com/cc_ft_960/ISzn0cb125d6tf1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,178
"Buildable plan: Brookside, Sterling Ranch : The Monarch Collection,","$633,900 ","2,951",5,5,https://photos.zillowstatic.com/cc_ft_960/ISjrw23yc22n081000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,179
"Buildable plan: Somerton, Sterling Ranch : The Grand Collection I,","$662,900 ","2,528",4,3,https://photos.zillowstatic.com/cc_ft_960/ISvkjhk7niti541000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,180
"9930 Eagle River St,","$699,900 ","4,124",4,3,https://photos.zillowstatic.com/p_e/ISbly5j71dak4q1000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.506191,-105.036118,Homes,181
"Buildable plan: Abbot, Sterling Ranch : The Monarch Collection,","$538,900 ","1,857",3,2,https://photos.zillowstatic.com/cc_ft_960/ISn6bjqhwqumb20000000000.jpg,Littleton,CO,80125,"10,531",38,"$103,835 ",2.70%,5,7.80%,"9,768",46,"19,407","13,173",39.495327,-105.05897,Homes,182
"9944 Whitetail Ln,","$2,999,999 ","9,501",5,7,https://photos.zillowstatic.com/p_e/ISrdbb7e1a2yyh0000000000.jpg,Littleton,CO,80127,"46,774",42,"$116,136 ",6.60%,50,0.93%,"11,862",46,"17,763","14,729",39.535143,-105.136459,Homes,183
"9959 Whistling Elk Dr,","$3,200,000 ","7,053",4,5,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/462/genMid.5622462_1.jpg,Littleton,CO,80127,"46,774",42,"$116,136 ",6.60%,50,0.93%,"11,862",46,"17,763","14,729",39.534032,-105.133451,Homes,184
"7452 S Utica St,","$974,999 ","7,326",5,5,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/902/genMid.6007902_0.jpg,Littleton,CO,80128,"35,835",42,"$100,542 ",5.80%,38,0.61%,"8,440",46,"14,119","11,296",39.581381,-105.048127,Homes,185
"7100 S Platte Canyon Rd,","$4,685,000 ","21,903",8,13,https://photos.zillowstatic.com/p_e/ISr51irjgc1g7j0000000000.jpg,Littleton,CO,80128,"35,835",42,"$100,542 ",5.80%,38,0.61%,"8,440",46,"14,119","11,296",39.58758,-105.047176,Homes,186
"7664 S Platteview Dr,","$910,000 ","4,778",5,4,https://photos.zillowstatic.com/p_e/ISzzh5z4k1lyvi1000000000.jpg,Littleton,CO,80128,"35,835",42,"$100,542 ",5.80%,38,0.61%,"8,440",46,"14,119","11,296",39.577814,-105.045531,Homes,187
